name,apiVersion,script,id,name,likelyGender,genderScale,score,probabilityCalibrated
A Habib,namsor_api_2.0.30,LATIN,39e4d8b0-d95c-42d9-b858-75db37428c45,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,263f0a83-52b2-4a2b-837e-e04ddb040c16,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,8e9bcd2e-f1fe-4159-85b7-1a37deae3c85,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,1794935b-3538-468d-99d5-e78b9614f1ac,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,8b4607cd-f0b7-441f-8505-a1e3d1fe1dd1,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,aeaa6e18-e8b6-41fa-8829-4599443060ca,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,f73d1478-53f1-47f6-971f-54c152953c83,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,8cf3b953-4964-4d7e-a06c-ceb59d7a18c5,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,0453fbc9-3a89-4f83-b716-99728f9ce9f2,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,53937c70-7884-4371-8394-725f636bd445,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,0e9aa33c-7d27-4274-bc73-a4a901554a11,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,fdc2ba7c-0e70-4365-8a7f-b817e0727c94,A Habib,male,-0.162340825,1.470639901,0.581170413
