firstName,apiVersion,script,id,firstName,lastName,likelyGender,genderScale,score,probabilityCalibrated
A Gryglewski,namsor_api_2.0.30,LATIN,7e736ced-08bd-4150-b128-1c2ceaa5ff70,A Gryglewski,,female,0.033721308251168036,0.028838531063414122,0.516860654125584
A Gupta,namsor_api_2.0.30,LATIN,62969606-a697-46cc-8cb4-b168c8855028,A Gupta,,male,-0.41488019389301867,2.644995475781542,0.7074400969465093
A HOSMAHN,namsor_api_2.0.30,LATIN,149c0a3c-6239-425b-bb28-49d2a9ef7717,A HOSMAHN,,male,-0.25702637118847793,1.491396055276109,0.628513185594239
A Ha,namsor_api_2.0.30,LATIN,643129e1-dba1-4bbd-a4f5-0bc1117160fc,A Ha,,female,0.26890813512656075,1.551467356590443,0.6344540675632804
A Harthan,namsor_api_2.0.30,LATIN,10da2c25-8361-47c0-840c-764c0cbcfbaf,A Harthan,,male,-0.3819349083039969,2.303865211738003,0.6909674541519985
A Harthan,namsor_api_2.0.30,LATIN,20c5a763-65d9-40ef-bf3d-64a783c00460,A Harthan,,male,-0.3819349083039969,2.303865211738003,0.6909674541519985
A Hernández,namsor_api_2.0.30,LATIN,f43f4f05-689d-49fd-96a0-9896dc27b90a,A Hernández,,male,-0.07677194718984448,0.5629453521420585,0.5383859735949222
A Hinds,namsor_api_2.0.30,LATIN,9af0e88a-8096-4010-8bfb-b7f100b23669,A Hinds,,male,-0.3468215076825374,2.0219137571258194,0.6734107538412687
A Homsi,namsor_api_2.0.30,LATIN,caeabc25-ee3a-4262-8e0c-9be85caa267e,A Homsi,,male,-0.45237723180487466,3.2203448690774934,0.7261886159024373
A Hosmalin,namsor_api_2.0.30,LATIN,8ab4bb96-7108-4862-98be-fee513328f86,A Hosmalin,,male,-0.23705386926003058,1.395267639006807,0.6185269346300153
A Hosmalin,namsor_api_2.0.30,LATIN,e09d4708-d329-49bc-8b28-5c612843f4cd,A Hosmalin,,male,-0.23705386926003058,1.395267639006807,0.6185269346300153
A Houlgatte,namsor_api_2.0.30,LATIN,9d1c6641-419a-4687-a67b-a29f7619df41,A Houlgatte,,female,0.1027295042291656,0.7089943500043213,0.5513647521145828
A Houlgatte,namsor_api_2.0.30,LATIN,a8439ddc-8f6f-4b00-b933-24021bfcedb2,A Houlgatte,,female,0.1027295042291656,0.7089943500043213,0.5513647521145828
A Huber,namsor_api_2.0.30,LATIN,1bce964d-4785-4c0d-8c33-fdb543d6adb9,A Huber,,male,-0.9630119995850999,8.186057479113124,0.9815059997925499
A Hörlein,namsor_api_2.0.30,LATIN,fed33f98-1802-4315-ab5a-4a4a1c14bc08,A Hörlein,,male,-0.17165930444303457,1.1135500488425052,0.5858296522215173
A Janata,namsor_api_2.0.30,LATIN,a5c0e410-f926-4d26-ad7c-83c303b934d3,A Janata,,female,0.24262186315961842,1.421499745124052,0.6213109315798092
A Jenkins,namsor_api_2.0.30,LATIN,6d3549d2-a24f-492b-bc47-b6b3661062b3,A Jenkins,,male,-0.7370688392368758,5.228795042402716,0.8685344196184379
A Kahari,namsor_api_2.0.30,LATIN,b0290c67-5ce0-4d5b-9115-d12aee16011e,A Kahari,,male,-0.8621798291853047,6.5442919208315935,0.9310899145926523
A Kahari,namsor_api_2.0.30,LATIN,b3a5647b-8e91-4440-a4db-0e5d765b902f,A Kahari,,male,-0.8621798291853047,6.5442919208315935,0.9310899145926523
A Keaveny,namsor_api_2.0.30,LATIN,92a7858b-f7d0-47e9-aeaf-5e0e1a65277a,A Keaveny,,female,0.036180550300345615,0.17725907561019108,0.5180902751501728
A Khalid,namsor_api_2.0.30,LATIN,51d4340b-9187-4b73-baf8-b4d11c82aef7,A Khalid,,male,-0.9604566804469297,8.074034438484997,0.9802283402234648
A Khan,namsor_api_2.0.30,LATIN,89775632-0a7e-49f2-aaf0-a584b56e2e03,A Khan,,male,-0.8590242892669957,6.50687364514949,0.9295121446334978
A Khan,namsor_api_2.0.30,LATIN,380f4d40-8d0a-4c8a-98a6-26e7c36d461b,A Khan,,male,-0.8590242892669957,6.50687364514949,0.9295121446334978
A Khanna,namsor_api_2.0.30,LATIN,1249fe00-b586-4be6-8aea-8463c29df94e,A Khanna,,male,-0.4521872343846782,3.2165250501171414,0.7260936171923391
A Khanna,namsor_api_2.0.30,LATIN,834a08e8-dc99-4169-ab77-1873b90f93b0,A Khanna,,male,-0.4521872343846782,3.2165250501171414,0.7260936171923391
A Koenen,namsor_api_2.0.30,LATIN,44242a3e-6b36-4230-a5cd-89fbe97df90f,A Koenen,,male,-0.3246225826953977,1.870938585610812,0.6623112913476988
A Kok,namsor_api_2.0.30,LATIN,08d38979-da93-4f0d-8040-7089c65dddbe,A Kok,,male,-0.8178472693848602,6.087693776845015,0.9089236346924301
A Kopp-Schneider,namsor_api_2.0.30,LATIN,3c16277c-1922-4879-a03e-28d8757621b8,A Kopp-Schneider,,male,-0.308962853153411,1.7737136331255314,0.6544814265767055
A Kraegpoeth,namsor_api_2.0.30,LATIN,fb78e44d-7f1b-4998-8291-9b295bd09101,A Kraegpoeth,,female,0.09600904090461748,0.6705372836154098,0.5480045204523087
A Krause,namsor_api_2.0.30,LATIN,0ad1c111-a0ba-4e65-b776-8bcbb2022378,A Krause,,male,-0.47052671842424676,3.4953657190283707,0.7352633592121234
A Kuebler,namsor_api_2.0.30,LATIN,09e6131d-4717-4fcc-bd56-8e931df802e6,A Kuebler,,male,-0.36496229968496885,2.1597045686518292,0.6824811498424844
A Kukla,namsor_api_2.0.30,LATIN,4b594906-9c4f-4ebd-a543-e527da95c71f,A Kukla,,female,0.8333907150038431,6.245668129621862,0.9166953575019215
A Kuzovlev,namsor_api_2.0.30,LATIN,793e4c91-2888-42e8-9cf3-a518560954ad,A Kuzovlev,,male,-0.4215773431930654,2.728426142084807,0.7107886715965327
A Lal,namsor_api_2.0.30,LATIN,0434a4ed-b33c-4a18-9943-6b4c103d8631,A Lal,,male,-0.8194061063905242,6.114215822026349,0.9097030531952621
A Lal,namsor_api_2.0.30,LATIN,7b63a61c-688c-4411-8c40-d47681d6623d,A Lal,,male,-0.8194061063905242,6.114215822026349,0.9097030531952621
A Lal,namsor_api_2.0.30,LATIN,56b106fd-7b94-4cba-8b77-fe6bbedc759e,A Lal,,male,-0.8194061063905242,6.114215822026349,0.9097030531952621
A Lal,namsor_api_2.0.30,LATIN,b130fcb4-2502-46ec-8709-4e175e5b4a30,A Lal,,male,-0.8194061063905242,6.114215822026349,0.9097030531952621
A Larsson,namsor_api_2.0.30,LATIN,b109051e-84c1-4102-89cf-852d104dac28,A Larsson,,male,-0.8524878452379945,6.433540006013217,0.9262439226189972
A Leach,namsor_api_2.0.30,LATIN,ee8a0782-afd4-4ed9-a04e-eb192ee30665,A Leach,,female,0.16122822166854212,1.0702814051225573,0.5806141108342711
A Lee,namsor_api_2.0.30,LATIN,5ead8155-f4a3-4e13-b271-9f0717b6d843,A Lee,,male,-0.3956208087393154,2.4339046885769733,0.6978104043696577
